sentences ,level
أنا أكتب في الدفتر.,A
أنا أتعلم اللغة العربية.,A
أنا أجلس في الفصل مع زملائي.,A
أنا أدرس الرياضيات في المدرسة.,A
أنا أحمل حقيبتي كل يوم.,A
الجرس يرن في نهاية الحصة.,A
أنا أحب حصة العلوم.,A
أنا أقرأ الدرس بصوت عالٍ.,A
أنا أحل الواجب بعد المدرسة.,A
المعلم يكتب على السبورة.,A
أنا أحب الذهاب إلى المكتبة.,A
أنا ألعب في الساحة خلال الاستراحة.,A
أنا أحضر دفتر الملاحظات معي.,A
أنا أكتب بالقلم الرصاص.,A
أنا أراجع دروسي كل مساء.,A
أنا أشارك في نشاطات المدرسة.,A
أنا أحب تعلم أشياء جديدة.,A
أنا أستعد للامتحان.,A
اليوم الجو مشمس.,A
أنا أرتدي معطفًا في الشتاء.,A
الرياح قوية اليوم.,A
أنا أحب المطر في الشتاء.,A
الثلج يتساقط في الجبال.,A
أنا أشعر بالحر في الصيف.,A
أنا أفتح النافذة عندما يكون الطقس جميلًا.,A
أنا أستخدم المظلة عندما تمطر.,A
الجو حار جدًا في الظهيرة.,A
أنا أشرب الماء البارد في الصيف.,A
الغيوم تغطي السماء.,A
أنا أحب الهواء المنعش بعد المطر.,A
الجو بارد في الصباح.,A
أنا أرتدي قبعة في الأيام الحارة.,A
أنا أحب فصل الربيع.,A
أنا أفتح النافذة عندما يكون الطقس لطيفًا.,A
الليل يكون باردًا في الشتاء.,A
أنا أشاهد نشرة الطقس كل يوم.,A
أنا ألبس القفازات عندما يكون الطقس باردًا.,A
أنا أسمع صوت الرعد في العاصفة.,A
كيف حالك؟,A
أنا بخير، شكرًا.,A
ما اسمك؟,A
اسمي محمد.,A
من أين أنت؟,A
أنا من المغرب.,A
كم عمرك؟,A
عمري عشرون سنة.,A
أين تعيش؟,A
أنا أعيش في المدينة.,A
ماذا تفعل؟,A
أنا طالب.,A
أين تعمل؟,A
أنا أعمل في مكتب.,A
ما هو طعامك المفضل؟,A
أنا أحب الأرز والدجاج.,A
هل تحب القهوة؟,A
نعم، أحب القهوة كثيرًا.,A
ما هو لونك المفضل؟,A
أنا أحب اللون الأزرق.,A
متى تستيقظ؟,A
أنا أستيقظ في الساعة السابعة.,A
متى تنام؟,A
أنا أنام في الساعة العاشرة.,A
أين تذهب؟,A
أنا أذهب إلى السوق.,A
ماذا تريد أن تفعل؟,A
أنا أريد أن أقرأ كتابًا.,A
إنه يوم جميل.,A
إنه صباح مشرق.,A
إنه كتاب ممتع.,A
إنه يوم ممطر.,A
إنه طريق طويل.,A
إنه حيوان لطيف.,A
إنه بيت كبير.,A
إنه قميص أبيض.,A
إنه مقعد مريح.,A
إنه فصل الشتاء.,A
إنه فيلم رائع.,A
إنه جبل شاهق.,A
إنه وقت العشاء.,A
إنه درس سهل.,A
إنه طقس معتدل.,A
إنه متجر قريب.,A
إنه صوت جميل.,A
إنه مطعم مفضل.,A
إنه لون جميل.,A
إنه سوق مزدحم.,A
هذا كتاب مفيد.,A
هذا القلم أزرق.,A
هذا الكرسي مريح.,A
هذا الهاتف جديد.,A
هذا الطعام لذيذ.,A
هذا الولد ذكي.,A
هذا الشارع مزدحم.,A
هذا الجبل مرتفع.,A
هذا الفيلم ممتع.,A
هذا الحذاء غالي.,A
تلك الفتاة سعيدة.,A
تلك الحديقة جميلة.,A
تلك السيارة حمراء.,A
تلك الطائرة كبيرة.,A
تلك الشجرة خضراء.,A
تلك الغرفة واسعة.,A
تلك المدينة مشهورة.,A
تلك الحقيبة ثقيلة.,A
تلك النافذة مفتوحة.,A
تلك المدرسة قديمة.,A
هي تذهب إلى المدرسة بالحافلة.,A
هي تكتب رسالة إلى صديقتها.,A
هي تأكل الفطور مع العائلة.,A
هي تقرأ كتابًا في المكتبة.,A
هي تلبس فستانًا جميلًا.,A
هي تحب العزف على البيانو.,A
هي تستيقظ في الساعة السابعة.,A
هي تغسل الصحون بعد العشاء.,A
هي تساعد الأطفال في الحديقة.,A
هي تطبخ طعامًا لذيذًا.,A
هي تدرس بجد للامتحان.,A
هي تستمع إلى الأخبار.,A
هي تذهب إلى السوق لشراء الفواكه.,A
هي تحب مشاهدة الغروب.,A
هي تفتح النافذة في الصباح.,A
هي تغني بصوت جميل.,A
هي تلعب مع القطة.,A
هي تحب السفر إلى الأماكن الجديدة.,A
هي ترسم لوحة فنية.,A
هي تشتري هدية لصديقتها.,A
هو يذهب إلى المدرسة في الصباح.,A
هو يحب قراءة الكتب.,A
هو يكتب قصة قصيرة.,A
هو يأكل تفاحة.,A
هو يشاهد التلفاز مع العائلة.,A
هو يركض في الحديقة.,A
هو يلعب كرة السلة.,A
هو يدرس في المكتبة.,A
هو يعمل في متجر.,A
هو ينام مبكرًا.,A
هو يغسل يديه قبل الأكل.,A
هو يفتح الباب.,A
هو يلبس معطفًا في الشتاء.,A
هو يساعد أمه في المطبخ.,A
هو يزور جده في القرية.,A
هو يستمع إلى الموسيقى الهادئة.,A
هو يغلق النافذة عند البرد.,A
هو يحب الحلوى.,A
هو يشرب الحليب في الصباح.,A
هو يقود السيارة إلى العمل.,A
نحن نذهب إلى المدرسة معًا.,A
نحن نحب اللعب في الحديقة.,A
نحن نقرأ الكتب في المكتبة.,A
نحن نسافر في العطلة.,A
نحن نعيش في نفس المدينة.,A
نحن نأكل العشاء مع العائلة.,A
نحن نستمع إلى الموسيقى في المساء.,A
نحن نمارس الرياضة كل صباح.,A
نحن نساعد بعضنا البعض.,A
نحن نرتب الغرفة معًا.,A
نحن نستمتع بمشاهدة الأفلام.,A
نحن نكتب في الدفاتر.,A
نحن نرسم لوحات جميلة.,A
نحن نزرع الأشجار في الحديقة.,A
نحن نلعب كرة القدم في الساحة.,A
نحن نذهب إلى السوق لشراء الطعام.,A
نحن نحب الذهاب إلى الشاطئ.,A
نحن نغسل الأطباق بعد العشاء.,A
نحن نغني أغاني جميلة.,A
نحن نركب الدراجات في الشارع.,A
الرسم هوايتي المفضلة.,A
أحب مشاهدة اللوحات الجميلة.,A
الفن يعبر عن المشاعر.,A
النحت يحتاج إلى مهارة.,A
الخط العربي جميل جدًا.,A
أخي يحب التصوير.,A
الفن موجود في كل الثقافات.,A
الموسيقى أيضًا نوع من الفن.,A
الرسام يستخدم ألوان كثيرة.,A
الفنان يعبر عن نفسه بالرسم.,A
أنا أستيقظ في الصباح.,A
الطقس اليوم جميل.,A
أنا أذهب إلى السوق.,A
أحب شرب الشاي في المساء.,A
أنا أقرأ كتابًا جديدًا.,A
البيت نظيف ومرتب.,A
أنا أحب السفر إلى أماكن جديدة.,A
أنا آكل الفطور مع عائلتي.,A
أنا أمارس الرياضة كل يوم.,A
أنا أحب مشاهدة الأفلام.,A
المصنع كبير جدًا.,A
العمال يعملون بجد.,A
السيارات تُصنع في المصانع.,A
الحديد مادة قوية.,A
الصناعة مهمة جدًا للاقتصاد.,A
المهندس يصمم الآلات.,A
المصانع تحتاج إلى كهرباء.,A
المياه ضرورية في الصناعة.,A
هناك أنواع كثيرة من المصانع.,A
المصانع تنتج أشياء مفيدة.,A
أبي يعمل في مكتب.,A
المعلم يشرح الدرس في الصف.,A
المزارع يزرع الخضروات.,A
أختي تعمل في المستشفى.,A
المهندس يبني المنازل.,A
أمي تعمل في المدرسة.,A
الشرطي يحمي الناس.,A
البائع يبيع الفواكه.,A
أنا أحب عملي كثيرًا.,A
أخي يبحث عن وظيفة جديدة.,A
القطط تحب اللعب كثيرًا.,A
الكلاب حيوانات وفية.,A
الحصان يجري بسرعة كبيرة.,A
الفيل حيوان ضخم وقوي.,A
العصفور يغني في الصباح.,A
الأسماك تعيش في الماء.,A
الأرانب تأكل الجزر.,A
النحل يصنع العسل.,A
الأسد يعيش في الغابة.,A
البقرة تعطينا الحليب.,A
أنا أحب سماع الموسيقى كل يوم.,A
الموسيقى تجعلني سعيدًا.,A
أختي تغني بصوت جميل.,A
نحن نرقص على أنغام الموسيقى.,A
الموسيقى الهادئة تساعدني على النوم.,A
أحب العزف على البيانو.,A
الموسيقى موجودة في كل مكان.,A
أخي يستمع إلى الأغاني في سيارته.,A
أحب الذهاب إلى الحفلات الموسيقية.,A
أمي تستمع إلى الأغاني القديمة.,A
أحب الاستماع إلى الموسيقى الكلاسيكية.,B
أعزف على الجيتار منذ خمس سنوات.,B
الموسيقى تريح الأعصاب وتساعد على التركيز.,B
أحب حضور الحفلات الموسيقية الحية.,B
أستمتع بسماع الأغاني القديمة.,B
تعلمت العزف على البيانو عندما كنت صغيرًا.,B
الموسيقى الشعبية تعكس ثقافة الشعوب.,C
أحب تأليف الأغاني في وقت فراغي.,B
الطبل هو أقدم آلة موسيقية في العالم.,B
الصوت الجميل يجعل الأغنية أكثر تأثيرًا.,B
الفن يعبر عن مشاعرنا وأفكارنا.,B
أحب زيارة المتاحف لمشاهدة اللوحات الفنية.,B
الرسم يساعدني على التعبير عن نفسي.,B
فن النحت يحتاج إلى دقة وصبر.,B
أعجبتني اللوحة التي رأيتها في المعرض.,B
ألوان اللوحة تعكس الحالة النفسية للفنان.,B
أحب تجربة الرسم بالألوان الزيتية.,B
الفن الحديث يثير الكثير من الجدل.,B
الخط العربي من أجمل الفنون الإسلامية.,B
أحلم بأن أصبح فنانًا مشهورًا.,B
أستمتع برسم اللوحات في وقت فراغي.,B
القراءة توسع آفاقي وتجعلني أكثر معرفة.,B
أحب ممارسة الرياضة يوميًا للحفاظ على صحتي.,B
السباحة هي هوايتي المفضلة في الصيف.,B
أقوم بالعزف على العود كهواية شخصية.,B
أستمتع بتصوير المناظر الطبيعية.,B
أحب تعلم لغات جديدة كهواية.,B
الطبخ من الهوايات الممتعة والمفيدة.,B
أمارس اليوغا للاسترخاء وتصفية الذهن.,B
هوايتي المفضلة هي كتابة القصص القصيرة.,B
الجبال جميلة في فصل الشتاء.,B
أحب المشي في الغابات الهادئة.,B
البحار تعطي إحساسًا بالراحة والسلام.,B
الشلالات من أجمل المناظر الطبيعية.,B
الزهور تضيف جمالًا للطبيعة.,B
الغروب منظر ساحر في المساء.,B
الهواء النقي مهم لصحة الإنسان.,B
الغابات المطيرة موطن للعديد من الكائنات الحية.,B
أحب التخييم في الجبال مع الأصدقاء.,B
المطر ينعش الأرض ويجعلها خضراء.,B
الكلاب أصدقاء وفية.,B
القطط تحب اللعب والاستكشاف.,B
الفيلة حيوانات ذكية جدًا.,B
الأسود تعرف بملك الغابة.,B
الطيور تغرد بأصوات جميلة كل صباح.,B
الحيتان هي أكبر الكائنات في المحيط.,B
النحل يساعد في تلقيح الأزهار.,B
أحب مشاهدة الدلافين في البحر.,B
الببغاوات تستطيع تقليد الأصوات البشرية.,B
الأرانب كائنات لطيفة وسريعة.,B
أعمل في شركة تكنولوجيا المعلومات.,B
أحب وظيفتي لأنها تتيح لي الإبداع.,B
أطمح لأن أصبح مديرًا في المستقبل.,B
العمل الجماعي يزيد من الإنتاجية.,B
أبحث عن وظيفة تناسب مهاراتي.,B
المهندسون يبتكرون حلولًا جديدة للمشاكل.,B
العمل الحر يمنحني الحرية في اختيار مشاريعي.,B
المحاسبة تحتاج إلى دقة وتركيز.,B
المعلمون يلعبون دورًا مهمًا في المجتمع.,B
الشركات تحتاج إلى موظفين ذوي خبرة.,B
أحب دراسة الرياضيات.,B
المدرسة مكان رائع لاكتساب المعرفة.,B
المعلمين يساعدوننا على فهم الدروس.,B
أستمتع بحصص العلوم والتجارب المعملية.,B
اللغة العربية لغة جميلة وسهلة التعلم.,B
الواجبات المنزلية تساعد في تثبيت المعلومات.,B
الامتحانات تتطلب تحضيرًا جيدًا.,B
أحب القراءة في مكتبة المدرسة.,B
المشاركة في الأنشطة المدرسية ممتعة.,B
أحلم بأن أصبح طبيبًا بعد التخرج.,B
كيف كان يومك؟,B
من فضلك، هل يمكنك مساعدتي؟,B
ما رأيك في هذا الفيلم؟,B
أحتاج إلى بعض الوقت للتفكير.,B
أنا آسف، لم أقصد ذلك.,B
أين يمكنني العثور على أقرب متجر؟,B
ما هي خططك لعطلة نهاية الأسبوع؟,B
هذا المكان جميل جدًا!,B
أتمنى لك يومًا سعيدًا!,B
هل يمكنك تكرار ذلك من فضلك؟,B
سأزور باريس في الصيف.,B
أحب السفر واكتشاف أماكن جديدة.,B
الطيران هو أسرع وسيلة للسفر.,B
تجربة الطعام المحلي من أفضل جوانب السفر.,B
أحلم بالسفر حول العالم.,B
السفر بالقطار ممتع ومريح.,B
زيارة المتاحف تجعلني أكثر معرفة.,B
التخييم في الصحراء تجربة رائعة.,B
استكشاف المدن القديمة شيء مثير.,B
السفر يعطينا ذكريات لا تُنسى.,B
أحب لعب كرة القدم مع أصدقائي.,B
أستمتع بألعاب الفيديو في وقت الفراغ.,B
الشطرنج يحتاج إلى تفكير عميق.,B
السباق يجعلني أشعر بالحماس.,B
لعبة البلياردو تتطلب دقة ومهارة.,B
ألعب الشطرنج لتنمية مهاراتي العقلية.,B
كرة السلة رياضة ممتعة.,B
أحب مشاهدة مباريات التنس.,B
لعب الورق مع العائلة ممتع.,B
ألعاب الذكاء تساعد على تنمية التفكير.,B
أستخدم إنستغرام لمشاركة صوري.,B
مواقع التواصل الاجتماعي تربط الناس ببعضهم.,B
أقضي وقتًا طويلاً على يوتيوب.,B
أحب متابعة الأخبار على تويتر.,B
الفيسبوك وسيلة جيدة للتواصل مع الأصدقاء.,B
وسائل التواصل تؤثر على حياتنا اليومية.,B
أشارك أفكاري عبر المدونات الإلكترونية.,B
تيك توك مليء بمقاطع الفيديو الإبداعية.,B
أحرص على استخدام الإنترنت بشكل معتدل.,B
الخصوصية على الإنترنت أمر مهم.,B
 أستمع إلى الموسيقى العربية التقليدية كل مساء.,B
 عزف الجيتار هواية ممتعة بدأت ممارستها منذ عامين.,B
حضرت حفلة موسيقية رائعة في المسرح الوطني الأسبوع الماضي.,B
 تعلمت العزف على البيانو عندما كنت في العاشرة من عمري.,B
موسيقى الجاز لها تأثير إيجابي على مزاجي.,B
تجمع الموسيقى الناس من مختلف الثقافات والخلفيات.,B
أحب الاستماع إلى الأغاني التي تحكي قصصًا واقعية.,B
 تطورت الموسيقى العربية بشكل كبير خلال القرن الماضي.,B
 يقام مهرجان موسيقي شهير في مدينتنا كل صيف.,B
أفضل الاستماع إلى الموسيقى عندما أكون في طريقي إلى العمل.,B
المغني المفضل لدي أصدر ألبومًا جديدًا الشهر الماضي.,B
 العزف على الكمان يتطلب الكثير من الممارسة والصبر.,B
تساعدني الموسيقى الهادئة على التركيز أثناء المذاكرة.,B
 أحضر دروسًا في الغناء مرتين في الأسبوع.,B
الموسيقى الشعبية في بلدي لها طابع خاص يميزها.,B
تبادلنا توصيات الأغاني المفضلة خلال الحفلة.,B
 تعكس الموسيقى الكلاسيكية ثقافة وتاريخ الشعوب.,B
شاركت في فرقة موسيقية في المدرسة لمدة ثلاث سنوات.,B
 أستخدم تطبيقات خاصة لاكتشاف موسيقى جديدة.,B
الإيقاعات المختلفة في الموسيقى العالمية تثير اهتمامي.,B
 سأحضر ورشة عمل لتعلم العزف على العود الشهر المقبل.,B
 تتميز الموسيقى الأندلسية بمزيج فريد من التأثيرات الثقافية.,B
 أشارك قوائم تشغيل الموسيقى المفضلة مع أصدقائي عبر الإنترنت.,B
يمكن للموسيقى أن تنقلنا إلى أماكن وأزمنة مختلفة.,B
 لا أستطيع التركيز عندما تكون الموسيقى صاخبة جدًا.,B
زرت معرضًا فنيًا يضم لوحات لفنانين معاصرين.,B
الفن التشكيلي يعبر عن رؤية الفنان للعالم من حوله.,B
 اشتريت لوحة جميلة لتزيين جدار غرفة المعيشة.,B
 تعلمت تقنيات الرسم بالألوان المائية في دورة فنية.,B
يستخدم الفنانون المعاصرون وسائل تكنولوجية في أعمالهم.,B
 النحت فن صعب يتطلب مهارة عالية ودقة في التنفيذ.,B
 أحب زيارة المتاحف لمشاهدة اللوحات الكلاسيكية.,B
الخط العربي من أجمل أنواع الفنون في العالم.,B
 تعكس الأعمال الفنية ثقافة المجتمع وقيمه.,B
 تطورت أساليب الفن عبر العصور بشكل ملحوظ.,B
استخدم الفنان ألوانًا زاهية للتعبير عن الفرح في لوحته.,B
 الفن التجريدي يترك مساحة واسعة للتفسير والتأويل.,B
 شاركت في ورشة عمل لتعلم فن التصوير الفوتوغرافي.,B
تعتبر القاهرة من أهم المراكز الفنية في العالم العربي.,B
تتميز كل مدرسة فنية بأسلوب وتقنيات خاصة بها.,B
 يمكن للفن أن يكون وسيلة قوية للتعبير عن القضايا الاجتماعية.,B
 حضرت محاضرة عن تاريخ الفن الإسلامي في الجامعة.,B
 يستلهم الفنانون أفكارهم من الطبيعة والحياة اليومية.,B
 أقيم معرض سنوي للفنون في مركز الثقافة بالمدينة.,B
 تجذبني الألوان والأشكال في الفن المعاصر.,B
تعبر الرسومات على الجدران عن هموم الشباب ومشاكلهم.,B
 اقتنيت مجموعة من الأعمال الفنية للفنانين المحليين.,B
 تختلف تقنيات الرسم باختلاف المواد المستخدمة.,B
 يساهم الفن في الحفاظ على الهوية الثقافية للشعوب.,B
 شاهدت فيلمًا وثائقيًا عن حياة فنان مشهور وأعماله.,B
 أمارس رياضة المشي كل صباح في الحديقة القريبة من منزلي.,B
 جمع الطوابع هواية قديمة ما زال الكثيرون يمارسونها.,B
 أقضي وقت فراغي في قراءة الروايات التاريخية.,B
 تعلمت الطبخ من خلال مشاهدة مقاطع فيديو على الإنترنت.,B
 التصوير الفوتوغرافي يساعدني على رؤية العالم بطريقة مختلفة.,B
أشارك في نادي للقراءة نجتمع مرة كل أسبوعين.,B
 زراعة النباتات في المنزل هواية ممتعة ومفيدة.,B
أحب صنع المجوهرات اليدوية وأبيعها عبر الإنترنت.,B
 بدأت ممارسة اليوغا منذ ستة أشهر وأشعر بتحسن كبير.,B
الرسم على الزجاج هواية اكتشفتها مؤخرًا وأستمتع بها كثيرًا.,B
أقضي ساعتين يوميًا في تعلم لغة جديدة كهواية.,B
 نظمت رحلة لتسلق الجبال مع مجموعة من هواة المغامرات.,B
 الطهي أصبح هوايتي المفضلة خلال فترة الحجر الصحي.,B
64. أجمع القطع الأثرية القديمة وأحتفظ بها في غرفة خاصة.,B
65. تعلمت العزف على الجيتار من خلال دروس على الإنترنت.,B
66. الكتابة الإبداعية تساعدني على التعبير عن أفكاري ومشاعري.,B
67. أشارك في مسابقات الشطرنج المحلية بانتظام.,B
68. التطريز اليدوي هواية تعلمتها من جدتي عندما كنت صغيرة.,B
69. أقضي عطلة نهاية الأسبوع في ممارسة رياضة ركوب الدراجات.,B
70. أحب تجربة وصفات طعام جديدة من مختلف الثقافات.,B
71. انضممت إلى نادي للخطابة لتطوير مهارات التحدث أمام الجمهور.,B
72. صناعة الشموع من الهوايات التي تتطلب دقة ومهارة.,B
73. أجمع الصدف البحرية من شواطئ مختلفة زرتها.,B
74. ممارسة رياضة السباحة تساعدني على الاسترخاء بعد يوم طويل.,B
75. تصميم الأزياء هواية أمارسها منذ كنت في المدرسة الثانوية.,B
76. تغطي الثلوج قمم الجبال طوال فصل الشتاء.,B
77. زرعت شجرة في حديقة المنزل بمناسبة عيد ميلادي.,B
78. يعتبر فصل الربيع أجمل الفصول لما فيه من تفتح للأزهار.,B
79. تهب الرياح الشديدة في منطقتنا خلال فصل الخريف.,B
80. يقع شلال جميل في الغابة على بعد كيلومترين من القرية.,B
 تسببت الفيضانات في أضرار كبيرة في المناطق الزراعية.,B
82. ينصح الخبراء بضرورة الحفاظ على البيئة من التلوث.,B
83. تختلف النباتات والحيوانات باختلاف البيئة التي تعيش فيها.,B
84. قضيت الصيف الماضي في مزرعة جدي في الريف.,B
85. تتميز الصحراء بتنوع بيئي غير متوقع رغم قسوة ظروفها.,B
86. زرت محمية طبيعية تضم أنواعًا نادرة من الطيور.,B
87. تعد الغابات المطيرة رئة الأرض لأهميتها في إنتاج الأكسجين.,B
88. نظمت الجامعة رحلة استكشافية لدراسة النظام البيئي للبحيرة.,B
